first_name,last_name,Club,Position,Height,Nationality,Flag,Date of Birth,image_url,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Marc,Cucurella,Chelsea,Defender,172cm,Spain,https://resources.premierleague.com/premierleague/flags/ES.png,22/07/1998  (25),https://resources.premierleague.com/premierleague/photos/players/250x250/p179268.png,9,1,14,27,63%,0,1,12,17,10,0,45,52,36,2,11,9,0,0,0,439,48.78,0,5,0%,1,8,5,0,11,1,0,0,0,0,0,,,,,,,,,,,,,,,
Josh,Cullen,Burnley,Midfielder,175cm,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,07/04/1996  (27),https://resources.premierleague.com/premierleague/photos/players/250x250/p172567.png,13,,,20,65%,,3,7,13,3,,70,55,43,2,9,11,,0,1,612,47.08,1,5,40%,2,14,5,0,14,0,0,0,0,0,0,0.00,0,0,4,0,0%,0,,,,,,,,
Jamie,Cumming,,Goalkeeper,186cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,04/09/1999,https://resources.premierleague.com/premierleague/photos/players/250x250/p209706.png,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Luke,Cundle,,Midfielder,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,26/04/2002,https://resources.premierleague.com/premierleague/photos/players/250x250/p245923.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Ted,Curd,Chelsea,Goalkeeper,183cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,14/02/2006  (18),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Sam,Curtis,Sheffield United,Defender,,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,01/12/2005  (18),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Luciano,D'Auria-Henry,,Defender,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,11/11/2002,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Michael,Dacosta Gonzalez,,Forward,186cm,Spain,https://resources.premierleague.com/premierleague/flags/ES.png,05/03/2005,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Mahmoud,Dahoud,,Midfielder,178cm,Germany,https://resources.premierleague.com/premierleague/flags/DE.png,01/01/1996,https://resources.premierleague.com/premierleague/photos/players/250x250/p168090.png,9,,,9,44%,,2,1,4,1,,26,13,25,2,0,5,,0,1,325,36.11,2,3,33%,1,10,1,1,6,0,0,0,0,0,0,0.00,0,0,6,1,17%,0,,,,,,,,
Mikkel,Damsgaard,Brentford,Midfielder,180cm,Denmark,https://resources.premierleague.com/premierleague/flags/DK.png,03/07/2000  (23),https://resources.premierleague.com/premierleague/photos/players/250x250/p440089.png,13,,,14,50%,,1,7,3,2,,30,27,33,4,4,3,,0,1,188,14.46,3,17,18%,7,7,0,0,7,2,0,0,0,0,0,0.00,0,0,4,3,75%,1,,,,,,,,
Daniel,Podence,,Midfielder,165cm,Portugal,https://resources.premierleague.com/premierleague/flags/PT.png,21/10/1995,https://resources.premierleague.com/premierleague/photos/players/250x250/p200600.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
,Danilo,Nottingham Forest,Midfielder,176cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,29/04/2001  (22),https://resources.premierleague.com/premierleague/photos/players/250x250/p513046.png,19,,,18,39%,,4,17,25,7,,67,44,40,11,11,7,,0,0,442,23.26,1,7,14%,2,28,2,0,6,2,1,0,1,0,0,0.05,0,0,14,4,29%,1,,,,,,,,
Arnaut,Danjuma,Everton,Forward,178cm,Netherlands,https://resources.premierleague.com/premierleague/flags/NL.png,31/01/1997  (27),https://resources.premierleague.com/premierleague/photos/players/250x250/p220307.png,14,,,6,,,8,3,0,0,,,,,,,,,,0,140,10.00,1,10,,,,0,0,7,3,1,0,0,1,2,0.07,0,0,25,9,36%,5,,,,,,,,
Jayden,Danns,Liverpool,Forward,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,16/01/2006  (18),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,1,,,0,,,0,0,0,0,,,,,,,,,,0,4,4.00,0,0,,,,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Karl,Darlow,,Goalkeeper,190cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,08/10/1990,https://resources.premierleague.com/premierleague/photos/players/250x250/p59735.png,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Josh,Dasilva,Brentford,Midfielder,184cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,23/10/1998  (25),https://resources.premierleague.com/premierleague/photos/players/250x250/p183656.png,3,,,2,50%,,0,0,0,0,,2,4,8,2,0,0,,0,0,13,4.33,0,6,17%,0,0,0,0,2,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tom,Davies,Sheffield United,Midfielder,180cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,30/06/1998  (25),https://resources.premierleague.com/premierleague/photos/players/250x250/p173807.png,7,,,8,50%,,2,3,4,2,,12,10,21,1,1,3,,1,0,66,9.43,0,3,0%,1,1,2,0,4,0,0,0,0,0,0,0.00,0,0,3,0,0%,0,,,,,,,,
Keinan,Davis,,Forward,191cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,13/02/1998,https://resources.premierleague.com/premierleague/photos/players/250x250/p221239.png,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Craig,Dawson,Wolverhampton Wanderers,Defender,188cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,06/05/1990  (33),https://resources.premierleague.com/premierleague/photos/players/250x250/p60232.png,24,5,35,29,66%,0,3,15,117,64,2,92,108,63,3,62,30,0,0,1,"1,226",51.08,2,1,0%,2,98,7,0,20,4,1,0,1,0,0,,,,,,,,,,,,,,,
Lucas,De Bolle,Newcastle United U19,Midfielder,,Scotland,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,22/10/2002  (21),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Kevin,De Bruyne,Manchester City,Midfielder,181cm,Belgium,https://resources.premierleague.com/premierleague/flags/BE.png,28/06/1991  (32),https://resources.premierleague.com/premierleague/photos/players/250x250/p61366.png,7,,,4,75%,,3,0,1,0,,20,13,23,3,3,3,,0,4,261,37.29,5,62,24%,4,10,1,0,5,0,1,0,1,0,0,0.14,0,0,11,3,27%,1,,,,,,,,
Bobby,De Cordova-Reid,Fulham,Forward,170cm,Jamaica,https://resources.premierleague.com/premierleague/flags/JM.png,02/02/1993  (31),https://resources.premierleague.com/premierleague/photos/players/250x250/p96994.png,23,,,15,,,6,3,10,8,,,,,,,,,,1,375,16.30,2,30,,,,2,0,12,4,5,1,3,1,1,0.22,0,0,24,7,29%,2,,,,,,,,
Luc,De Fougerolles,Fulham,Defender,,Canada,https://resources.premierleague.com/premierleague/flags/CA.png,12/10/2005  (18),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
David,de Gea,,Goalkeeper,192cm,Spain,https://resources.premierleague.com/premierleague/flags/ES.png,07/11/1990,https://resources.premierleague.com/premierleague/photos/players/250x250/p51940.png,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Deivid,Washington,Chelsea,Forward,186cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,05/06/2005  (18),https://resources.premierleague.com/premierleague/photos/players/250x250/p617054.png,1,,,1,,,0,0,0,0,,,,,,,,,,0,1,1.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
Hannes,Delcroix,Burnley,Defender,185cm,Belgium,https://resources.premierleague.com/premierleague/flags/BE.png,28/02/1999  (25),https://resources.premierleague.com/premierleague/photos/players/250x250/p247245.png,11,0,24,10,60%,1,0,8,19,6,0,29,19,20,2,7,9,0,0,0,314,28.55,0,5,40%,0,11,1,0,6,0,0,0,0,0,0,,,,,,,,,,,,,,,
Siriki,Dembélé,,Midfielder,173cm,Scotland,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,07/09/1996,https://resources.premierleague.com/premierleague/photos/players/250x250/p244085.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Leander,Dendoncker,,Midfielder,188cm,Belgium,https://resources.premierleague.com/premierleague/flags/BE.png,15/04/1995,https://resources.premierleague.com/premierleague/photos/players/250x250/p151589.png,8,,,6,67%,,1,2,3,2,,4,11,8,0,4,5,,0,0,56,7.00,0,0,0%,0,3,0,0,1,0,1,0,1,0,0,0.13,0,0,2,1,50%,0,,,,,,,,
Will,Dennis,,Goalkeeper,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,10/07/2000,https://resources.premierleague.com/premierleague/photos/players/250x250/p444172.png,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Halil,Dervisoglu,,Forward,183cm,Turkey,https://resources.premierleague.com/premierleague/flags/TR.png,08/12/1999,https://resources.premierleague.com/premierleague/photos/players/250x250/p434662.png,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Alfie,Devine,,Midfielder,179cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,01/08/2004,https://resources.premierleague.com/premierleague/photos/players/250x250/p496179.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Marcus,Dewhurst,,Goalkeeper,189cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,20/03/2001,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Moussa,Diaby,Aston Villa,Forward,170cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,07/07/1999  (24),https://resources.premierleague.com/premierleague/photos/players/250x250/p243557.png,26,,,7,,,10,5,4,2,,,,,,,,,,4,400,15.38,8,33,,,,1,0,13,4,4,0,2,2,1,0.15,0,0,40,17,43%,5,,,,,,,,
Amad,Diallo,Manchester United,Forward,173cm,Cote D’Ivoire,https://resources.premierleague.com/premierleague/flags/CI.png,11/07/2002  (21),https://resources.premierleague.com/premierleague/photos/players/250x250/p493250.png,2,,,3,,,0,0,0,0,,,,,,,,,,0,34,17.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,1,1,100%,0,,,,,,,,
Luis,Díaz,Liverpool,Forward,178cm,Colombia,https://resources.premierleague.com/premierleague/flags/CO.png,13/01/1997  (27),https://resources.premierleague.com/premierleague/photos/players/250x250/p244731.png,25,,,18,,,20,2,6,2,,,,,,,,,,3,603,24.12,2,14,,,,2,0,32,11,6,1,2,2,0,0.24,0,0,59,22,37%,8,,,,,,,,
Matthew,Dibley-Dias,Fulham,Midfielder,183cm,New Zealand,https://resources.premierleague.com/premierleague/flags/NZ.png,29/10/2003  (20),https://resources.premierleague.com/premierleague/photos/players/250x250/p515023.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Diego,Carlos,Aston Villa,Defender,186cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,15/03/1993  (30),https://resources.premierleague.com/premierleague/photos/players/250x250/p165659.png,17,3,17,16,69%,1,0,10,48,21,1,58,38,41,2,18,21,0,1,0,875,51.47,0,1,0%,0,49,3,0,11,1,0,0,0,0,0,,,,,,,,,,,,,,,
Diego,Costa,,Forward,188cm,Spain,https://resources.premierleague.com/premierleague/flags/ES.png,07/10/1988,https://resources.premierleague.com/premierleague/photos/players/250x250/p18507.png,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Diego,Moreira,,Forward,179cm,Portugal,https://resources.premierleague.com/premierleague/flags/PT.png,06/08/2004,https://resources.premierleague.com/premierleague/photos/players/250x250/p491011.png,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Eric,Dier,,Defender,188cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,15/01/1994,https://resources.premierleague.com/premierleague/photos/players/250x250/p93264.png,4,0,8,2,50%,0,0,2,12,6,0,7,6,5,0,3,5,0,0,0,141,35.25,0,0,0%,0,2,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,
Lucas,Digne,Aston Villa,Defender,178cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,20/07/1993  (30),https://resources.premierleague.com/premierleague/photos/players/250x250/p101188.png,21,2,20,31,42%,0,5,19,33,23,0,74,88,69,4,29,17,0,0,2,694,33.05,2,117,25%,0,11,5,0,20,2,0,0,0,0,0,,,,,,,,,,,,,,,
Diogo,Dalot,Manchester United,Defender,183cm,Portugal,https://resources.premierleague.com/premierleague/flags/PT.png,18/03/1999  (24),https://resources.premierleague.com/premierleague/photos/players/250x250/p216051.png,24,5,33,51,63%,0,7,27,69,31,3,139,104,74,20,24,15,0,0,2,981,40.88,2,62,32%,0,60,4,1,23,0,1,0,1,0,2,,,,,,,,,,,,,,,
Diogo,Jota,Liverpool,Forward,178cm,Portugal,https://resources.premierleague.com/premierleague/flags/PT.png,04/12/1996  (27),https://resources.premierleague.com/premierleague/photos/players/250x250/p194634.png,19,,,23,,,11,6,4,3,,,,,,,,,,3,360,18.95,3,8,,,,1,1,27,3,9,1,5,3,0,0.47,0,0,36,17,47%,2,,,,,,,,
Issa,Diop,Fulham,Defender,194cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,09/01/1997  (27),https://resources.premierleague.com/premierleague/photos/players/250x250/p219924.png,15,3,21,23,52%,0,1,12,63,28,2,55,47,37,1,19,16,0,1,0,906,60.40,0,0,0%,1,33,2,0,12,0,0,0,0,0,0,,,,,,,,,,,,,,,
Axel,Disasi,Chelsea,Defender,190cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,11/03/1998  (25),https://resources.premierleague.com/premierleague/photos/players/250x250/p220362.png,23,5,34,23,52%,0,1,12,81,45,0,118,106,58,11,60,25,1,0,0,"1,772",77.04,0,9,11%,3,34,6,0,12,4,1,0,1,0,0,,,,,,,,,,,,,,,
Ben,Doak,Liverpool,Forward,,Scotland,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,11/11/2005  (18),https://resources.premierleague.com/premierleague/photos/players/250x250/p496208.png,1,,,0,,,0,0,0,0,,,,,,,,,,0,4,4.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Lewis,Dobbin,Everton,Forward,175cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,03/01/2003  (21),https://resources.premierleague.com/premierleague/photos/players/250x250/p461421.png,9,,,6,,,0,1,0,0,,,,,,,,,,0,37,4.11,1,7,,,,1,0,2,0,1,0,0,1,0,0.11,0,0,4,2,50%,1,,,,,,,,
Owen,Dodgson,,Defender,178cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,19/03/2003,https://resources.premierleague.com/premierleague/photos/players/250x250/p461567.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Matt,Doherty,Wolverhampton Wanderers,Defender,185cm,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,16/01/1992  (32),https://resources.premierleague.com/premierleague/photos/players/250x250/p87835.png,20,1,10,13,54%,0,1,4,19,14,0,35,45,35,4,23,15,0,0,0,271,13.55,1,6,17%,0,13,1,0,9,2,1,0,1,0,0,,,,,,,,,,,,,,,
Jérémy,Doku,Manchester City,Forward,173cm,Belgium,https://resources.premierleague.com/premierleague/flags/BE.png,27/05/2002  (21),https://resources.premierleague.com/premierleague/photos/players/250x250/p248875.png,18,,,28,,,14,8,2,1,,,,,,,,,,5,545,30.28,4,43,,,,3,0,10,5,2,0,2,0,1,0.11,0,0,29,8,28%,0,,,,,,,,
Nicolás,Domínguez,Nottingham Forest,Midfielder,179cm,Argentina,https://resources.premierleague.com/premierleague/flags/AR.png,28/06/1998  (25),https://resources.premierleague.com/premierleague/photos/players/250x250/p250199.png,17,,,55,53%,,6,9,20,10,,82,89,62,7,14,13,,0,2,617,36.29,2,6,33%,2,24,2,0,18,2,2,1,1,0,0,0.12,0,0,17,5,29%,1,,,,,,,,
Jamie,Donley,Tottenham Hotspur,Forward,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,03/01/2005  (19),https://resources.premierleague.com/premierleague/photos/players/250x250/p513588.png,3,,,0,,,0,0,2,1,,,,,,,,,,0,1,0.33,0,0,,,,1,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Alfie,Dorrington,Tottenham Hotspur,Defender,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,20/04/2005  (18),https://resources.premierleague.com/premierleague/photos/players/250x250/p519321.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Cheick,Doucouré,Crystal Palace,Midfielder,180cm,Mali,https://resources.premierleague.com/premierleague/flags/ML.png,08/01/2000  (24),https://resources.premierleague.com/premierleague/photos/players/250x250/p438464.png,11,,,34,50%,,2,20,9,3,,74,50,42,10,5,9,,0,0,421,38.27,1,1,0%,5,8,2,0,10,0,0,0,0,0,0,0.00,0,0,6,2,33%,0,,,,,,,,
Alfie,Doughty,Luton Town,Midfielder,183cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,21/12/1999  (24),https://resources.premierleague.com/premierleague/photos/players/250x250/p244262.png,24,,,40,60%,,10,18,25,10,,116,86,81,23,19,10,,0,5,674,28.08,6,217,27%,0,45,3,0,18,11,1,0,0,1,0,0.04,0,0,18,3,17%,1,,,,,,,,
Douglas,Luiz,Aston Villa,Midfielder,175cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,09/05/1998  (25),https://resources.premierleague.com/premierleague/photos/players/250x250/p230046.png,25,,,47,64%,,19,17,16,5,,145,116,99,18,21,14,,0,4,"1,504",60.16,8,89,26%,9,78,6,0,32,0,9,1,8,0,1,0.36,4,0,44,16,36%,2,,,,,,,,
Flynn,Downes,,Midfielder,173cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,20/01/1999,https://resources.premierleague.com/premierleague/photos/players/250x250/p220585.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tommy,Doyle,Wolverhampton Wanderers,Midfielder,172cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,17/10/2001  (22),https://resources.premierleague.com/premierleague/photos/players/250x250/p220394.png,17,,,15,40%,,1,8,11,6,,57,20,15,1,0,2,,0,0,464,27.29,1,16,19%,2,37,2,0,6,0,0,0,0,0,0,0.00,0,0,6,2,33%,0,,,,,,,,
Mohamed,Dräger,,Defender,180cm,Tunisia,https://resources.premierleague.com/premierleague/flags/TN.png,25/06/1996,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Radu,Dragusin,Tottenham Hotspur,Defender,191cm,Romania,https://resources.premierleague.com/premierleague/flags/RO.png,03/02/2002  (22),https://resources.premierleague.com/premierleague/photos/players/250x250/p493125.png,3,0,1,0,0%,0,0,2,2,1,0,1,3,0,0,2,0,0,0,0,13,4.33,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Cody,Drameh,,Defender,175cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,08/12/2001,https://resources.premierleague.com/premierleague/photos/players/250x250/p433590.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Martin,Dúbravka,Newcastle United,Goalkeeper,190cm,Slovakia,https://resources.premierleague.com/premierleague/flags/SK.png,15/01/1989  (35),https://resources.premierleague.com/premierleague/photos/players/250x250/p67089.png,12,1,27,,,,,,,,,,,,,,,0,1,0,264,22.00,,,,,37,1,0,2,,0,,,,,,,,,,,,52,1,4,9,4,3,75,88
Joshua,Duffus,Brighton &amp; Hove Albion,Forward,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,15/12/2004  (19),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Shane,Duffy,,Defender,193cm,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,01/01/1992,https://resources.premierleague.com/premierleague/photos/players/250x250/p61933.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Paul,Dummett,Newcastle United,Defender,183cm,Wales,https://resources.premierleague.com/premierleague/flags/GB-WLS.png,26/09/1991  (32),https://resources.premierleague.com/premierleague/photos/players/250x250/p106618.png,1,0,0,1,0%,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,8.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Lewis,Dunk,Brighton &amp; Hove Albion,Defender,192cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,21/11/1991  (32),https://resources.premierleague.com/premierleague/photos/players/250x250/p83299.png,22,2,35,19,53%,0,8,19,47,25,3,130,71,55,3,41,21,0,1,1,"2,296",104.36,1,5,20%,2,107,6,1,13,1,3,2,1,0,1,,,,,,,,,,,,,,,
Jhon,Durán,Aston Villa,Forward,185cm,Colombia,https://resources.premierleague.com/premierleague/flags/CO.png,13/12/2003  (20),https://resources.premierleague.com/premierleague/photos/players/250x250/p476344.png,14,,,3,,,1,0,6,4,,,,,,,,,,0,57,4.07,0,5,,,,4,0,9,1,2,0,0,2,1,0.14,0,0,12,4,33%,1,,,,,,,,
George,Earthy,West Ham United,Midfielder,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,05/09/2004  (19),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Evan,Easton,Sheffield United,Defender,,Scotland,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,14/01/2005  (19),https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Jake,Eastwood,,Goalkeeper,193cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,03/10/1996,https://resources.premierleague.com/premierleague/photos/players/250x250/p213280.png,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Malcolm,Ebiowei,,Forward,185cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,04/09/2003,https://resources.premierleague.com/premierleague/photos/players/250x250/p450535.png,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Claudio,Echeverri,,Midfielder,171cm,Argentina,https://resources.premierleague.com/premierleague/flags/AR.png,02/01/2006,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
,Ederson,Manchester City,Goalkeeper,188cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,17/08/1993  (30),https://resources.premierleague.com/premierleague/photos/players/250x250/p121160.png,25,8,23,,,,,,,,,,,,,,,0,0,0,864,34.56,,,,,156,4,0,1,,0,,,,,,,,,,,,47,0,4,18,0,18,107,90
Odsonne,Édouard,Crystal Palace,Forward,187cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,16/01/1998  (26),https://resources.premierleague.com/premierleague/photos/players/250x250/p199670.png,20,,,19,,,17,5,18,14,,,,,,,,,,0,283,14.15,1,10,,,,3,0,26,7,6,0,3,3,1,0.30,0,0,46,17,37%,5,,,,,,,,
