first_name,last_name,Club,Position,Height,Nationality,Flag,Date of Birth,Appearances,image_url,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Kevin,De Bruyne,Manchester City,Midfielder,181cm,Belgium,https://resources.premierleague.com/premierleague/flags/BE.png,28/06/1991  (32),249,https://resources.premierleague.com/premierleague/photos/players/250x250/p61366.png,,,307,64%,,171,112,93,55,,"1,096",958,"1,122",333,96,146,,1,106,"12,570",50.48,168,"1,718",25%,196,661,19,0,193,26,65,0,44,21,29,0.26,4,4,597,210,35%,24,,,,,,,,
Bobby,De Cordova-Reid,Fulham,Forward,170cm,Jamaica,https://resources.premierleague.com/premierleague/flags/JM.png,02/02/1993  (31),119,https://resources.premierleague.com/premierleague/photos/players/250x250/p96994.png,,,104,,,35,47,82,44,,,,,,,,,,6,"2,228",18.72,7,130,,,,17,0,89,29,19,5,12,2,5,0.16,1,0,116,35,30%,8,,,,,,,,
Luc,De Fougerolles,Fulham,Defender,,Canada,https://resources.premierleague.com/premierleague/flags/CA.png,12/10/2005  (18),0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
David,de Gea,,Goalkeeper,192cm,Spain,https://resources.premierleague.com/premierleague/flags/ES.png,07/11/1990,415,https://resources.premierleague.com/premierleague/photos/players/250x250/p51940.png,147,446,,,,,,,,,,,,,,,1,17,0,"9,389",22.62,,,,,"2,344",6,0,1,,0,,,,,,,,,,,,"1,157",5,136,208,120,113,"1,553","3,098"
Deivid,Washington,Chelsea,Forward,186cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,05/06/2005  (18),1,https://resources.premierleague.com/premierleague/photos/players/250x250/p617054.png,,,1,,,0,0,0,0,,,,,,,,,,0,1,1.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
Hannes,Delcroix,Burnley,Defender,185cm,Belgium,https://resources.premierleague.com/premierleague/flags/BE.png,28/02/1999  (24),11,https://resources.premierleague.com/premierleague/photos/players/250x250/p247245.png,0,24,10,60%,1,0,8,19,6,0,29,19,20,2,7,9,0,0,0,314,28.55,0,5,40%,0,11,1,0,6,0,0,0,0,0,0,,,,,,,,,,,,,,,
Siriki,Dembélé,,Midfielder,173cm,Scotland,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,07/09/1996,6,https://resources.premierleague.com/premierleague/photos/players/250x250/p244085.png,,,3,33%,,0,1,1,1,,9,11,14,6,0,4,,0,0,42,7.00,0,3,67%,0,1,0,0,1,0,0,0,0,0,1,0.00,0,0,2,2,100%,0,,,,,,,,
Leander,Dendoncker,,Midfielder,188cm,Belgium,https://resources.premierleague.com/premierleague/flags/BE.png,15/04/1995,152,https://resources.premierleague.com/premierleague/photos/players/250x250/p151589.png,,,246,48%,,16,117,191,120,,543,611,535,44,283,250,,1,2,"4,379",28.81,4,31,26%,1,161,14,0,88,5,10,2,5,3,5,0.07,0,0,98,36,37%,16,,,,,,,,
Will,Dennis,,Goalkeeper,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,10/07/2000,0,https://resources.premierleague.com/premierleague/photos/players/250x250/p444172.png,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Halil,Dervisoglu,,Forward,183cm,Turkey,https://resources.premierleague.com/premierleague/flags/TR.png,08/12/1999,1,https://resources.premierleague.com/premierleague/photos/players/250x250/p434662.png,,,0,,,1,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
Alfie,Devine,,Midfielder,179cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,01/08/2004,0,https://resources.premierleague.com/premierleague/photos/players/250x250/p496179.png,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Marcus,Dewhurst,,Goalkeeper,189cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,20/03/2001,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Moussa,Diaby,Aston Villa,Forward,170cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,07/07/1999  (24),26,https://resources.premierleague.com/premierleague/photos/players/250x250/p243557.png,,,7,,,10,5,4,2,,,,,,,,,,4,400,15.38,8,33,,,,1,0,13,4,4,0,2,2,1,0.15,0,0,40,17,43%,5,,,,,,,,
Amad,Diallo,Manchester United,Forward,173cm,Cote D’Ivoire,https://resources.premierleague.com/premierleague/flags/CI.png,11/07/2002  (21),5,https://resources.premierleague.com/premierleague/photos/players/250x250/p493250.png,,,6,,,0,0,1,0,,,,,,,,,,1,97,19.40,1,0,,,,0,0,2,0,0,0,0,0,0,0.00,0,0,2,2,100%,0,,,,,,,,
Luis,Díaz,Liverpool,Forward,178cm,Colombia,https://resources.premierleague.com/premierleague/flags/CO.png,13/01/1997  (27),55,https://resources.premierleague.com/premierleague/photos/players/250x250/p244731.png,,,44,,,42,12,9,4,,,,,,,,,,8,"1,488",27.05,6,36,,,,4,0,66,17,14,4,6,3,2,0.25,0,0,124,43,35%,13,,,,,,,,
Matthew,Dibley-Dias,Fulham,Midfielder,183cm,New Zealand,https://resources.premierleague.com/premierleague/flags/NZ.png,29/10/2003  (20),0,https://resources.premierleague.com/premierleague/photos/players/250x250/p515023.png,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Diego,Carlos,Aston Villa,Defender,186cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,15/03/1993  (30),20,https://resources.premierleague.com/premierleague/photos/players/250x250/p165659.png,3,20,17,65%,1,1,11,50,23,1,72,45,47,2,24,24,0,1,0,"1,014",50.70,0,2,0%,0,56,3,0,13,1,0,0,0,0,0,,,,,,,,,,,,,,,
Diego,Costa,,Forward,188cm,Spain,https://resources.premierleague.com/premierleague/flags/ES.png,07/10/1988,112,https://resources.premierleague.com/premierleague/photos/players/250x250/p18507.png,,,55,,,71,21,102,73,,,,,,,,,,16,"2,781",24.83,13,51,,,,31,1,148,100,53,5,35,13,7,0.47,1,0,283,122,43%,33,,,,,,,,
Diego,Moreira,Chelsea,Forward,179cm,Portugal,https://resources.premierleague.com/premierleague/flags/PT.png,06/08/2004  (19),0,https://resources.premierleague.com/premierleague/photos/players/250x250/p491011.png,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Eric,Dier,,Defender,188cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,15/01/1994,274,https://resources.premierleague.com/premierleague/photos/players/250x250/p93264.png,86,291,356,71%,2,47,341,902,535,1,"1,138","1,162",933,60,651,453,1,7,9,"15,771",57.56,17,138,20%,24,993,40,0,215,9,12,6,5,1,5,,,,,,,,,,,,,,,
Lucas,Digne,Aston Villa,Defender,178cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,20/07/1993  (30),178,https://resources.premierleague.com/premierleague/photos/players/250x250/p101188.png,39,216,315,59%,1,47,207,393,210,1,824,936,697,73,400,210,4,0,24,"6,607",37.12,39,"1,131",26%,3,224,29,2,187,16,5,0,0,5,8,,,,,,,,,,,,,,,
Diogo,Dalot,Manchester United,Defender,183cm,Portugal,https://resources.premierleague.com/premierleague/flags/PT.png,18/03/1999  (24),94,https://resources.premierleague.com/premierleague/photos/players/250x250/p216051.png,20,115,187,68%,0,23,105,208,104,6,500,391,251,69,117,56,0,0,6,"3,605",38.35,8,217,29%,5,211,17,1,75,3,2,0,2,0,5,,,,,,,,,,,,,,,
Diogo,Jota,Liverpool,Forward,178cm,Portugal,https://resources.premierleague.com/premierleague/flags/PT.png,04/12/1996  (27),162,https://resources.premierleague.com/premierleague/photos/players/250x250/p194634.png,,,153,,,78,42,42,26,,,,,,,,,,17,"3,488",21.53,27,129,,,,23,1,196,21,56,9,27,20,7,0.35,0,0,334,137,41%,53,,,,,,,,
Issa,Diop,Fulham,Defender,194cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,09/01/1997  (27),136,https://resources.premierleague.com/premierleague/photos/players/250x250/p219924.png,25,185,176,60%,1,4,187,568,298,4,601,492,339,18,247,164,2,3,2,"5,469",40.21,5,3,0%,3,229,19,0,90,9,7,5,1,0,0,,,,,,,,,,,,,,,
Axel,Disasi,Chelsea,Defender,190cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,11/03/1998  (25),23,https://resources.premierleague.com/premierleague/photos/players/250x250/p220362.png,5,34,23,52%,0,1,12,81,45,0,118,106,58,11,60,25,1,0,0,"1,772",77.04,0,9,11%,3,34,6,0,12,4,1,0,1,0,0,,,,,,,,,,,,,,,
Ben,Doak,Liverpool,Forward,,Scotland,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,11/11/2005  (18),3,https://resources.premierleague.com/premierleague/photos/players/250x250/p496208.png,,,3,,,0,0,0,0,,,,,,,,,,0,18,6.00,0,0,,,,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Lewis,Dobbin,Everton,Forward,175cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,03/01/2003  (21),12,https://resources.premierleague.com/premierleague/photos/players/250x250/p461421.png,,,8,,,0,1,0,0,,,,,,,,,,0,45,3.75,1,7,,,,2,0,3,0,1,0,0,1,0,0.08,0,0,4,2,50%,1,,,,,,,,
Owen,Dodgson,,Defender,178cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,19/03/2003,0,https://resources.premierleague.com/premierleague/photos/players/250x250/p461567.png,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Matt,Doherty,Wolverhampton Wanderers,Defender,185cm,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,16/01/1992  (32),139,https://resources.premierleague.com/premierleague/photos/players/250x250/p87835.png,26,117,200,59%,1,28,150,220,160,1,500,720,564,69,386,262,1,0,14,"4,621",33.24,16,182,23%,8,158,9,1,109,8,12,4,3,5,2,,,,,,,,,,,,,,,
Jérémy,Doku,Manchester City,Forward,173cm,Belgium,https://resources.premierleague.com/premierleague/flags/BE.png,27/05/2002  (21),18,https://resources.premierleague.com/premierleague/photos/players/250x250/p248875.png,,,28,,,14,8,2,1,,,,,,,,,,5,545,30.28,4,43,,,,3,0,10,5,2,0,2,0,1,0.11,0,0,29,8,28%,0,,,,,,,,
Nicolás,Domínguez,Nottingham Forest,Midfielder,179cm,Argentina,https://resources.premierleague.com/premierleague/flags/AR.png,28/06/1998  (25),17,https://resources.premierleague.com/premierleague/photos/players/250x250/p250199.png,,,55,53%,,6,9,20,10,,82,89,62,7,14,13,,0,2,617,36.29,2,6,33%,2,24,2,0,18,2,2,1,1,0,0,0.12,0,0,17,5,29%,1,,,,,,,,
Jamie,Donley,Tottenham Hotspur,Forward,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,03/01/2005  (19),3,https://resources.premierleague.com/premierleague/photos/players/250x250/p513588.png,,,0,,,0,0,2,1,,,,,,,,,,0,1,0.33,0,0,,,,1,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Alfie,Dorrington,Tottenham Hotspur,Defender,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,20/04/2005  (18),0,https://resources.premierleague.com/premierleague/photos/players/250x250/p519321.png,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Cheick,Doucouré,Crystal Palace,Midfielder,180cm,Mali,https://resources.premierleague.com/premierleague/flags/ML.png,08/01/2000  (24),45,https://resources.premierleague.com/premierleague/photos/players/250x250/p438464.png,,,111,57%,,14,76,56,22,,294,185,157,25,35,38,,0,3,"1,660",36.89,4,7,29%,8,57,11,1,48,0,0,0,0,0,1,0.00,0,0,42,9,21%,0,,,,,,,,
Alfie,Doughty,Luton Town,Midfielder,183cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,21/12/1999  (24),24,https://resources.premierleague.com/premierleague/photos/players/250x250/p244262.png,,,40,60%,,10,18,25,10,,116,86,81,23,19,10,,0,5,674,28.08,6,217,27%,0,45,3,0,18,11,1,0,0,1,0,0.04,0,0,18,3,17%,1,,,,,,,,
Douglas,Luiz,Aston Villa,Midfielder,175cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,09/05/1998  (25),165,https://resources.premierleague.com/premierleague/photos/players/250x250/p230046.png,,,274,56%,,61,170,147,58,,938,739,727,124,145,147,,2,17,"7,276",44.10,24,325,23%,26,412,35,2,227,2,20,1,16,3,3,0.12,4,1,165,56,34%,5,,,,,,,,
Flynn,Downes,,Midfielder,173cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,20/01/1999,21,https://resources.premierleague.com/premierleague/photos/players/250x250/p220585.png,,,16,56%,,2,7,4,1,,44,38,32,1,9,12,,0,0,327,15.57,0,3,0%,0,5,2,0,8,0,0,0,0,0,0,0.00,0,0,4,1,25%,0,,,,,,,,
Tommy,Doyle,Wolverhampton Wanderers,Midfielder,172cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,17/10/2001  (22),18,https://resources.premierleague.com/premierleague/photos/players/250x250/p220394.png,,,15,40%,,1,8,11,6,,58,21,16,1,0,2,,0,0,484,26.89,1,16,19%,2,37,2,0,6,0,0,0,0,0,0,0.00,0,0,7,3,43%,0,,,,,,,,
Mohamed,Dräger,,Defender,180cm,Tunisia,https://resources.premierleague.com/premierleague/flags/TN.png,25/06/1996,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Radu,Dragusin,Tottenham Hotspur,Defender,191cm,Romania,https://resources.premierleague.com/premierleague/flags/RO.png,03/02/2002  (22),3,https://resources.premierleague.com/premierleague/photos/players/250x250/p493125.png,0,1,0,0%,0,0,2,2,1,0,1,3,0,0,2,0,0,0,0,13,4.33,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Cody,Drameh,,Defender,175cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,08/12/2001,4,https://resources.premierleague.com/premierleague/photos/players/250x250/p433590.png,0,9,9,67%,0,0,2,4,0,0,8,14,10,3,2,1,0,0,0,86,21.50,0,3,33%,0,3,1,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,
Martin,Dúbravka,Newcastle United,Goalkeeper,190cm,Slovakia,https://resources.premierleague.com/premierleague/flags/SK.png,15/01/1989  (35),141,https://resources.premierleague.com/premierleague/photos/players/250x250/p67089.png,38,199,,,,,,,,,,,,,,,0,10,0,"3,746",26.57,,,,,994,3,0,2,,0,,,,,,,,,,,,441,2,56,110,26,50,535,"1,217"
Joshua,Duffus,Brighton &amp; Hove Albion,Forward,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,15/12/2004  (19),0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Shane,Duffy,,Defender,193cm,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,01/01/1992,119,https://resources.premierleague.com/premierleague/photos/players/250x250/p61933.png,22,150,100,60%,1,14,130,739,517,9,438,684,336,16,526,221,0,2,2,"4,416",37.11,2,7,71%,0,355,21,1,84,12,7,4,2,1,3,,,,,,,,,,,,,,,
Paul,Dummett,Newcastle United,Defender,183cm,Wales,https://resources.premierleague.com/premierleague/flags/GB-WLS.png,26/09/1991  (32),147,https://resources.premierleague.com/premierleague/photos/players/250x250/p106618.png,30,172,240,72%,1,10,196,682,390,1,436,668,402,24,349,232,2,2,0,"4,392",29.88,4,215,20%,1,262,16,1,70,1,3,1,0,2,1,,,,,,,,,,,,,,,
Lewis,Dunk,Brighton &amp; Hove Albion,Defender,192cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,21/11/1991  (32),230,https://resources.premierleague.com/premierleague/photos/players/250x250/p83299.png,60,314,238,57%,5,40,284,882,488,10,"1,485",983,621,32,610,332,6,3,6,"14,909",64.82,7,21,24%,12,"1,085",38,5,139,5,16,11,5,0,3,,,,,,,,,,,,,,,
Jhon,Durán,Aston Villa,Forward,185cm,Colombia,https://resources.premierleague.com/premierleague/flags/CO.png,13/12/2003  (20),26,https://resources.premierleague.com/premierleague/photos/players/250x250/p476344.png,,,5,,,3,2,8,6,,,,,,,,,,0,83,3.19,0,7,,,,5,0,18,4,2,0,0,2,2,0.08,0,0,19,6,32%,2,,,,,,,,
George,Earthy,,Midfielder,,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,05/09/2004,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Evan,Easton,Sheffield United,Defender,,Scotland,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,14/01/2005  (19),0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Jake,Eastwood,,Goalkeeper,193cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,03/10/1996,0,https://resources.premierleague.com/premierleague/photos/players/250x250/p213280.png,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Malcolm,Ebiowei,,Forward,185cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,04/09/2003,3,https://resources.premierleague.com/premierleague/photos/players/250x250/p450535.png,,,1,,,0,0,0,0,,,,,,,,,,0,7,2.33,0,3,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Claudio,Echeverri,,Midfielder,171cm,Argentina,https://resources.premierleague.com/premierleague/flags/AR.png,02/01/2006,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
,Ederson,Manchester City,Goalkeeper,188cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,17/08/1993  (30),242,https://resources.premierleague.com/premierleague/photos/players/250x250/p121160.png,110,186,,,,,,,,,,,,,,,0,7,3,"6,639",27.43,,,,,"1,039",19,1,8,,0,,,,,,,,,,,,403,3,59,110,24,146,"1,113","1,021"
Odsonne,Édouard,Crystal Palace,Forward,187cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,16/01/1998  (26),83,https://resources.premierleague.com/premierleague/photos/players/250x250/p199670.png,,,60,,,38,8,58,43,,,,,,,,,,5,"1,104",13.30,4,21,,,,10,0,79,24,17,1,7,9,4,0.20,1,0,125,50,40%,15,,,,,,,,
Khayon,Edwards,,Forward,180cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,12/09/2003,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
John,Egan,Sheffield United,Defender,185cm,Ireland,https://resources.premierleague.com/premierleague/flags/IE.png,20/10/1992  (31),73,https://resources.premierleague.com/premierleague/photos/players/250x250/p108416.png,16,94,91,57%,2,17,112,334,148,1,327,350,252,1,228,146,0,1,1,"2,596",35.56,2,6,17%,0,208,12,2,69,1,2,1,1,0,0,,,,,,,,,,,,,,,
CJ,Egan-Riley,,Defender,183cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,02/01/2003,1,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0,1,100%,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Hjalmar,Ekdal,Burnley,Defender,188cm,Sweden,https://resources.premierleague.com/premierleague/flags/SE.png,21/10/1998  (25),6,https://resources.premierleague.com/premierleague/photos/players/250x250/p478969.png,0,7,2,50%,0,0,4,17,8,0,14,7,13,0,3,8,0,0,0,157,26.17,0,0,0%,0,3,2,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,
Anthony,Elanga,Nottingham Forest,Forward,178cm,Sweden,https://resources.premierleague.com/premierleague/flags/SE.png,27/04/2002  (21),64,https://resources.premierleague.com/premierleague/photos/players/250x250/p449434.png,,,61,,,16,19,19,11,,,,,,,,,,10,"1,026",16.03,15,74,,,,1,0,19,23,8,3,4,1,2,0.13,0,0,76,31,41%,11,,,,,,,,
Harvey,Elliott,Liverpool,Midfielder,170cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,04/04/2003  (20),64,https://resources.premierleague.com/premierleague/photos/players/250x250/p444884.png,,,44,66%,,28,23,12,4,,198,119,144,28,11,27,,0,4,"1,651",25.80,10,77,21%,11,52,3,0,20,2,3,0,0,3,2,0.05,0,0,73,23,32%,1,,,,,,,,
Noam,Emeran,,Forward,179cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,24/09/2002,0,https://resources.premierleague.com/premierleague/photos/players/250x250/Photo-Missing.png,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
,Emerson,West Ham United,Defender,176cm,Italy,https://resources.premierleague.com/premierleague/flags/IT.png,03/08/1994  (29),79,https://resources.premierleague.com/premierleague/photos/players/250x250/p109533.png,9,103,143,63%,1,14,70,128,67,1,275,315,219,48,60,46,0,0,2,"2,871",36.34,5,178,18%,4,71,12,0,51,3,1,0,0,1,3,,,,,,,,,,,,,,,
Emerson,Royal,Tottenham Hotspur,Defender,181cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,14/01/1999  (25),74,https://resources.premierleague.com/premierleague/photos/players/250x250/p241157.png,12,74,154,65%,0,9,57,182,97,0,317,379,282,40,75,84,0,0,2,"2,746",37.11,2,126,20%,4,70,10,1,60,2,4,0,3,0,0,,,,,,,,,,,,,,,
Julio,Enciso,Brighton &amp; Hove Albion,Forward,168cm,Paraguay,https://resources.premierleague.com/premierleague/flags/PY.png,23/01/2004  (20),23,https://resources.premierleague.com/premierleague/photos/players/250x250/p474120.png,,,13,,,10,4,1,1,,,,,,,,,,4,275,11.96,5,13,,,,2,0,14,4,4,1,3,0,2,0.17,0,0,44,20,45%,4,,,,,,,,
Wataru,Endo,Liverpool,Midfielder,178cm,Japan,https://resources.premierleague.com/premierleague/flags/JP.png,09/02/1993  (31),18,https://resources.premierleague.com/premierleague/photos/players/250x250/p158983.png,,,24,63%,,4,10,17,14,,61,67,89,2,20,20,,0,0,704,39.11,2,4,50%,3,17,7,0,29,0,1,0,1,0,0,0.06,0,0,8,2,25%,0,,,,,,,,
Christian,Eriksen,Manchester United,Midfielder,182cm,Denmark,https://resources.premierleague.com/premierleague/flags/DK.png,14/02/1992  (32),281,https://resources.premierleague.com/premierleague/photos/players/250x250/p80607.png,,,327,71%,,223,181,156,63,,"1,478",782,"1,191",199,122,213,,1,75,"14,214",50.58,86,"1,424",23%,131,694,22,0,124,11,54,1,30,22,18,0.19,0,8,654,238,36%,25,,,,,,,,
Maxime,Esteve,Burnley,Defender,193cm,France,https://resources.premierleague.com/premierleague/flags/FR.png,26/05/2002  (21),4,https://resources.premierleague.com/premierleague/photos/players/250x250/p477717.png,0,9,4,50%,0,0,3,19,8,0,16,15,11,0,6,3,0,0,0,141,35.25,0,0,0%,0,5,1,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,
Pervis,Estupiñán,Brighton &amp; Hove Albion,Defender,175cm,Ecuador,https://resources.premierleague.com/premierleague/flags/EC.png,21/01/1998  (26),49,https://resources.premierleague.com/premierleague/photos/players/250x250/p204214.png,8,61,78,50%,0,14,53,48,28,0,266,185,194,27,45,39,1,0,8,"2,235",45.61,11,144,28%,6,44,7,0,58,16,3,0,0,3,0,,,,,,,,,,,,,,,
Jonny,Evans,Manchester United,Defender,188cm,Northern Ireland,https://resources.premierleague.com/premierleague/flags/GB-NIR.png,03/01/1988  (36),372,https://resources.premierleague.com/premierleague/photos/players/250x250/p37642.png,96,395,528,69%,3,22,682,"2,101",913,5,"1,996","1,733",988,98,835,477,6,4,13,"17,446",46.90,9,62,32%,12,"1,237",57,3,294,5,14,9,5,0,3,,,,,,,,,,,,,,,
Eberechi,Eze,Crystal Palace,Midfielder,178cm,England,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,29/06/1998  (25),101,https://resources.premierleague.com/premierleague/photos/players/250x250/p232413.png,,,102,52%,,56,47,19,8,,467,509,467,192,45,88,,1,12,"2,872",28.44,14,261,28%,17,83,9,0,67,7,20,2,12,6,3,0.20,2,1,166,59,36%,4,,,,,,,,
Lukasz,Fabianski,West Ham United,Goalkeeper,190cm,Poland,https://resources.premierleague.com/premierleague/flags/PL.png,18/04/1985  (38),357,https://resources.premierleague.com/premierleague/photos/players/250x250/p37096.png,90,496,,,,,,,,,,,,,,,0,18,2,"8,880",24.87,,,,,"2,609",9,1,8,,0,,,,,,,,,,,,"1,142",11,192,432,128,142,"1,742","2,828"
,Fabinho,,Midfielder,188cm,Brazil,https://resources.premierleague.com/premierleague/flags/BR.png,23/10/1993,151,https://resources.premierleague.com/premierleague/photos/players/250x250/p116643.png,,,290,55%,,23,183,168,85,,858,685,609,44,226,165,,0,8,"8,653",57.30,10,31,29%,15,384,36,0,183,0,8,2,6,0,0,0.05,2,0,78,23,29%,4,,,,,,,,
Fábio,Carvalho,,Midfielder,170cm,Portugal,https://resources.premierleague.com/premierleague/flags/PT.png,30/08/2002,17,https://resources.premierleague.com/premierleague/photos/players/250x250/p244858.png,,,17,82%,,4,7,0,0,,31,40,60,10,5,14,,0,0,224,13.18,1,6,17%,0,2,0,0,10,0,3,0,3,0,0,0.18,0,0,20,9,45%,2,,,,,,,,
